No,label,trend classification,ts_slope (cm/year),piecewise_R2,sudden change windows span,sudden change window start year,sudden change window end year
2868,Hollycroft Drift,No trend,-0.765151515,0.190662222,2,10/1/1998,10/1/1999
2869,Aycliffe 2,Slow increasing,-7.191948052,0.331612759,57,10/1/1967,10/1/2023
2870,Yendacott Manor,Slow increasing,-2.715087479,0.063128218,17,10/1/2006,10/1/2022
2871,Cosford,No trend,-0.311904762,0.007273595,25,10/1/1996,10/1/2020
2872,Old Road,No trend,-0.172619048,0.051379633,33,10/1/1991,10/1/2023
2873,Great Wollascott,No trend,0.782969113,0.114081843,8,10/1/2013,10/1/2020
2874,Tollgate Farm,No trend,0.076923077,0.09743837,4,10/1/2010,10/1/2013
2875,Home Farm Rushyford,Sudden upward change,-6.972986273,0.954671644,4,10/1/1975,10/1/1978
2876,Stanton Hill,No trend,0.83398126,0.297460206,19,10/1/1972,10/1/1990
2877,Lower Pond Street,Slow decreasing,7.217191142,0.122767214,17,10/1/2001,10/1/2017
2878,College Farm Duxford,No trend,-1.084848485,0.016802287,25,10/1/1999,10/1/2023
2879,Ballingdon Farm,Slow decreasing,7.202162308,0.071777476,33,10/1/1979,10/1/2011
2880,Mantles Farm,No trend,0.157051282,0.050064604,2,10/1/2015,10/1/2016
2881,Brinkley Road,Slow increasing,-15.08922559,0.476240267,26,10/1/1998,10/1/2023
2882,Heath Plantation,Slow decreasing,4.371928419,0.041803003,12,10/1/2000,10/1/2011
2883,Church Street,No trend,0.606944444,0.126024511,43,10/1/1979,10/1/2021
2884,Churncote,Slow increasing,-8.67655813,0.867725638,25,10/1/1996,10/1/2020
2885,Shropham,No trend,1.363636364,0.258630688,17,10/1/2000,10/1/2016
2886,Stockers Farm,No trend,-1.399752607,0.210922013,11,10/1/2009,10/1/2019
2888,Roudham Hall,Slow decreasing,3.472727273,0.24457644,20,10/1/1999,10/1/2018
2889,Eccleston,No trend,0.859375,0.700126365,4,10/1/1987,10/1/1990
2890,Bopeep,Slow increasing,-10.81527778,0.37890316,21,10/1/2003,10/1/2023
2891,Via Gellia,Slow increasing,-13.0928583,0.312198386,49,10/1/1975,10/1/2023
2892,Chappel Viaduct,Slow increasing,-5.403535354,0.410176275,10,10/1/1984,10/1/1993
2893,Withington,No trend,0.5,0.037576617,22,10/1/2000,10/1/2021
2894,Bedingfield Road,No trend,1.726354454,0.920603318,30,10/1/1989,10/1/2018
2895,Grinshill,No trend,1.10056065,0.006502403,23,10/1/2000,10/1/2022
2896,Oughtrington Lane,Sudden upward change,-6.026973363,0.900753754,8,10/1/1985,10/1/1992
2897,Badlingham,No trend,1.700757576,0.312436497,2,10/1/2002,10/1/2003
2898,Richard Fairclough House,Slow increasing,-2.022210234,0.852854626,32,10/1/1992,10/1/2023
2900,Leziate Drove Grimston,No trend,0.173076923,0.172497943,1,10/1/1999,10/1/1999
2901,Rauceby Station,No trend,-0.180357143,0.0383327,33,10/1/1990,10/1/2022
2902,Lund Wold House,No trend,0.216203704,0.019172635,16,10/1/2005,10/1/2020
2904,Bushy Ruff,No trend,-1.298712531,0.067770676,9,10/1/2009,10/1/2017
2905,Offley Hill,Slow decreasing,4.677083333,0.039253968,18,10/1/2000,10/1/2017
2906,Hatchet Plantation,Slow decreasing,3.423608592,0.411067751,8,10/1/2000,10/1/2007
2907,Tattershall 2,Slow increasing,-2.939393939,0.70764894,24,10/1/1999,10/1/2022
2908,Wades Hall,No trend,1.675,0.047045075,37,10/1/1982,10/1/2018
2909,Bings Heath,No trend,-0.039025546,0.040961381,2,10/1/2003,10/1/2004
2910,Little Willingford,No trend,-0.133333333,0.016907852,52,10/1/1972,10/1/2023
2911,Welton le Wold,No trend,0.864444444,0.004612514,22,10/1/1982,10/1/2003
2912,Paddock Bridge,Slow decreasing,8.359375,0.879771349,16,10/1/1979,10/1/1994
2913,Woodside Vernham Dean,Slow increasing,-2.919551282,0.012439091,63,10/1/1961,10/1/2023
2914,Nurton Hill Farm,No trend,-1.156706774,0.175473478,47,10/1/1973,10/1/2019
2915,Swayfield,No trend,-0.994791667,0.110789278,49,10/1/1975,10/1/2023
2916,Bugmore Hill,No trend,-1.706896552,0.125819255,51,10/1/1973,10/1/2023
2917,Whiteways Farm,Sudden upward change,-10.03950216,0.978381985,2,10/1/2016,10/1/2017
2918,Bridge Camp Site,No trend,-1.459848485,0.309123827,21,10/1/2003,10/1/2023
2919,Valley Farm Helhoughton,No trend,0.055021368,0.019964891,3,10/1/1982,10/1/1984
2922,Willow Farm,Sudden upward change,-2.441558442,0.789546216,10,10/1/1998,10/1/2007
2923,Little Buckholt Cottage,Slow decreasing,6.359090909,0.187336188,31,10/1/1961,10/1/1991
2924,Spy Law,No trend,-0.37409191,0.000711719,26,10/1/1997,10/1/2022
2925,Chatham Plantation,No trend,1.070863527,0.045473329,2,10/1/2008,10/1/2009
2926,Woodsend,Slow decreasing,3.585144928,0.103720591,3,10/1/1975,10/1/1977
2927,Tile Barn Farm,No trend,-0.524540416,0.006557462,25,10/1/1976,10/1/2000
2928,Scaleby,No trend,-0.383163135,0.174775872,5,10/1/2008,10/1/2012
2929,Merstone New Barn,Slow increasing,-2.165584416,0.208883576,46,10/1/1978,10/1/2023
2930,Yatton Keynell Manor,No trend,1.712904911,0.00929184,50,10/1/1974,10/1/2023
2931,Chawley Road,Slow decreasing,2.354315221,0.040229911,9,10/1/2014,10/1/2022
2932,Lower Field Farm,Slow increasing,-2.267156863,0.07477619,50,10/1/1974,10/1/2023
2933,The Green Mellis,No trend,0.425324675,0.094648355,2,10/1/2010,10/1/2011
2934,Rushgreen,No trend,1,0.534415466,11,10/1/2008,10/1/2018
2935,Heighton Blackcap Farm 1,No trend,0.957151681,0.32015892,2,10/1/1994,10/1/1995
2937,Hook Cottages,Slow increasing,-3.067424242,0.052008536,58,10/1/1966,10/1/2023
2938,Gomeldon Seaford,No trend,-0.620267065,0.011538053,3,10/1/2005,10/1/2007
2939,Leckby,No trend,1.206874003,0.279121691,2,10/1/1985,10/1/1986
2940,Bradley,Slow increasing,-2.844353865,0.188470853,24,10/1/1997,10/1/2020
2943,Preston Gubbals,Slow decreasing,2.358029074,0.507219552,20,10/1/2004,10/1/2023
2944,Home Farm Euston,No trend,-0.438888889,0.040397361,16,10/1/2004,10/1/2019
2945,Prowdes,No trend,-1.171875,0.032116921,29,10/1/1973,10/1/2001
2947,Stirling Corner,Slow increasing,-2.340909091,0.118707176,11,10/1/2013,10/1/2023
2948,Woodhouse Farm,No trend,-1.626703761,0.114258305,35,10/1/1989,10/1/2023
2949,Kearnsey Manor,No trend,-0.23816688,0.159694309,1,10/1/2006,10/1/2006
2950,Standon,No trend,-0.122349936,0.017527829,30,10/1/1991,10/1/2020
2951,Lower Farm Harpley,Slow decreasing,12.98826238,0.32642377,12,10/1/2000,10/1/2011
2952,Warren Farm Limestone,Slow increasing,-2.114801865,0.093412896,33,10/1/1990,10/1/2022
2953,Bothamsall,Slow increasing,-4.446315789,0.589485898,24,10/1/1997,10/1/2020
2954,Mimram 3,No trend,1.784745179,0.371494968,16,10/1/2001,10/1/2016
2955,Rottingdean,No trend,-1.4,0.165839672,25,10/1/1999,10/1/2023
2956,Sandall Common Farm,Sudden upward change,-4.160984848,0.704976267,3,10/1/1993,10/1/1995
2957,Stanford Rivers,Slow increasing,-17.48764529,0.971478125,26,10/1/1986,10/1/2011
2958,Salletts,No trend,0.235648148,3.44E-05,2,10/1/1983,10/1/1984
2959,Market Road Farm,No trend,2.922133782,0.220430458,2,10/1/2009,10/1/2010
2960,Huntington Lane,Slow increasing,-6.01011395,0.479355837,20,10/1/1993,10/1/2012
2961,Woodgate Lane,No trend,1.389473684,0.284332309,1,10/1/2002,10/1/2002
2962,Polhampton Lodge Cottage,Slow decreasing,6.14520202,0.205857436,41,10/1/1965,10/1/2005
2963,Rats Pen Lane Carstone,No trend,0.754666667,0.075318594,25,10/1/1981,10/1/2005
2965,Mayfields,Slow decreasing,2.040501166,0.556842401,19,10/1/1972,10/1/1990
2966,Bowling Green,No trend,1.145,0.049949513,2,10/1/2003,10/1/2004
2967,Hill Green,Slow decreasing,12.04444444,0.286931757,18,10/1/2002,10/1/2019
2968,Holme on Spalding Moor,Slow increasing,-2.346666667,0.268040849,1,10/1/2008,10/1/2008
2969,Snettisham,Slow decreasing,2.73,0.235774973,5,10/1/2000,10/1/2004
2970,Dale Brow,No trend,-0.815315167,0.191598362,14,10/1/2009,10/1/2022
2971,Beach Farm,No trend,0.177744233,0.014780904,60,10/1/1952,10/1/2011
2972,Sheffield Forest,No trend,-1.626464646,0.110975326,38,10/1/1986,10/1/2023
2974,Forton,No trend,-1.231475739,0.090432787,25,10/1/1996,10/1/2020
2975,Parsonage Farm North Elham,Slow increasing,-20.53487057,0.072931873,19,10/1/2004,10/1/2022
2977,Hall Gardens,Slow decreasing,2.569760101,0.521797606,2,10/1/1987,10/1/1988
2978,Burnham on Crouch,Slow increasing,-45.04765458,0.967601532,35,10/1/1974,10/1/2008
2981,Middle Harling,No trend,-0.453792798,0.011977151,9,10/1/2012,10/1/2020
2982,Brick Kiln Wood,Slow increasing,-2.998106061,0.12342769,9,10/1/2005,10/1/2013
2983,The Old Vicarage,No trend,-0.144444444,0.051344572,2,10/1/2005,10/1/2006
2985,Sheepwash,No trend,0.408176719,0.471584983,7,10/1/1980,10/1/1986
2986,Grove Farm Slip End,No trend,1.749907236,0.013080456,44,10/1/1974,10/1/2017
2988,Thornton Park,No trend,-0.400158977,0.041581282,15,10/1/1994,10/1/2008
2989,New House Farm Chartham,No trend,-0.776595745,0.109848189,10,10/1/2005,10/1/2014
2990,Knole,No trend,1.438973373,0.080258836,13,10/1/1994,10/1/2006
2991,Glebe Cottages,No trend,-0.825108225,0.090228971,43,10/1/1981,10/1/2023
2992,The Firs,No trend,-1.376372216,0.014551081,34,10/1/1990,10/1/2023
2993,Routh High Farm,No trend,-1.703703704,0.538963895,4,10/1/1999,10/1/2002
2994,Furzenhall,No trend,0.229047386,0.0123862,22,10/1/1969,10/1/1990
2995,Low Mowthorpe,No trend,-0.127683081,0.463663987,2,10/1/2018,10/1/2019
2996,Simmonds Hole,Slow increasing,-6.854545455,0.58890018,43,10/1/1971,10/1/2013
2997,Colesons Farm,No trend,0.501165501,0.065872127,2,10/1/1983,10/1/1984
2999,Red Bank,No trend,-1.169832001,0.411125566,47,10/1/1970,10/1/2016
3000,Bog Bridge Drift,No trend,0.298391973,0.236874873,8,10/1/1982,10/1/1989
3001,Crowsley Lodge,Slow decreasing,2.015873016,0.076713868,1,10/1/1995,10/1/1995
3002,Stillingfleet,Slow increasing,-5.388888889,0.617631044,6,10/1/2003,10/1/2008
3005,Lee Common,Slow decreasing,4.88513986,0.024054177,42,10/1/1974,10/1/2015
3006,Brier Holme Carr,Sudden upward change,-7.729794372,0.908051341,5,10/1/1999,10/1/2003
3007,Anstey Village,No trend,-1.587962963,0.027962054,28,10/1/1996,10/1/2023
3008,Whittlesford,No trend,1.25,0.44550174,2,10/1/2012,10/1/2013
3009,Sherbrooke Valley,No trend,1.221485112,0.020075747,35,10/1/1982,10/1/2016
3010,Aldbury,Slow decreasing,2.135714286,0.016228216,37,10/1/1980,10/1/2016
3011,Eastfield Farm,No trend,-0.10625,0.008488684,29,10/1/1995,10/1/2023
3012,Rookdale,Slow increasing,-10.60080645,0.296608276,35,10/1/1989,10/1/2023
3013,Radford,Slow increasing,-30.70037879,0.94253697,17,10/1/1986,10/1/2002
3014,Felsted,Slow decreasing,7.253857045,0.440038138,32,10/1/1987,10/1/2018
3015,Rossall,No trend,-0.06875,0.001339557,32,10/1/1990,10/1/2021
3016,Thornholme Moor,Slow increasing,-3.087534572,0.49431702,28,10/1/1996,10/1/2023
3017,Glebe Farm,No trend,-0.25,0.274040277,10,10/1/1992,10/1/2001
3018,Stokehill Farm,No trend,0.307739247,0.001119464,28,10/1/1996,10/1/2023
3019,Ludgershall,Slow increasing,-5.274509804,0.305580518,36,10/1/1988,10/1/2023
3020,Dibden,Slow decreasing,6.879046143,0.43984344,24,10/1/1999,10/1/2022
3022,Bostal,Slow increasing,-16.82878788,0.169870681,13,10/1/2011,10/1/2023
3023,Chitterne Down,No trend,5.951777958,0.066960285,1,10/1/2008,10/1/2008
3024,Cavenham Mill,No trend,0.385977118,0.174487906,2,10/1/2002,10/1/2003
3025,Twinwoods,No trend,0.571428571,0.274486508,2,10/1/2000,10/1/2001
3026,Easinghope Farm,No trend,-0.324973877,0.006710778,30,10/1/1979,10/1/2008
3027,Hine Heath,No trend,0.035303458,0.000228519,26,10/1/1995,10/1/2020
3029,Linton Lock,No trend,-0.946588905,0.302815685,13,10/1/1995,10/1/2007
3030,Ilden Farm,No trend,-0.320104895,0.09019673,19,10/1/1996,10/1/2014
3031,Mission,No trend,-0.776086957,0.416936054,2,10/1/2018,10/1/2019
3032,Hawgreen,No trend,0.806005866,0.039223796,40,10/1/1982,10/1/2021
3033,Calledge drove,No trend,0.097619048,0.070327968,19,10/1/1998,10/1/2016
3034,Mytton,No trend,0.527046784,0.010299481,36,10/1/1987,10/1/2022
3035,Grumble Bottom,Slow increasing,-4.481665614,0.13846908,45,10/1/1979,10/1/2023
3036,Strelley,No trend,0.14167412,0.20104129,2,10/1/2022,10/1/2023
3037,Boxiron Plantation,Slow decreasing,6.289176487,0.12751669,17,10/1/2000,10/1/2016
3039,Barford Cemetry,No trend,-0.950635014,0.086239621,13,10/1/2011,10/1/2023
3040,Martin Lane,Slow increasing,-15.6311553,0.942242572,16,10/1/2004,10/1/2019
3042,Lower Farm Buckland,Slow increasing,-4.49137931,0.288018579,27,10/1/1997,10/1/2023
3043,Church Lane Aldringham,No trend,0.463103255,0.083125134,49,10/1/1975,10/1/2023
3044,Hodnet,No trend,1.134631466,0.090820335,22,10/1/2001,10/1/2022
3046,Hodnet 342,No trend,1.673242149,0.075142214,45,10/1/1978,10/1/2022
3048,Hodnet 2,Sudden upward change,-17.31048422,0.954146818,4,10/1/2000,10/1/2003
3049,Hodnet Heath,No trend,1.396969697,0.566037018,1,10/1/1987,10/1/1987
3055,Sansaw Heath,Slow decreasing,6.853901099,0.654054042,44,10/1/1979,10/1/2022
3062,Willerby Haggs,No trend,-0.159722222,0.043971154,1,10/1/2010,10/1/2010
3063,Willerby Haggs Drift,No trend,0.433864379,0.126513624,6,10/1/1983,10/1/1988
3064,Kelfield Drift,No trend,-1.094912457,0.526211359,35,10/1/1989,10/1/2023
3065,Kelfield,Slow increasing,-3.119791667,0.64607522,28,10/1/1996,10/1/2023
3066,Footherley Shallow,No trend,0.202803132,0.081422824,2,10/1/2018,10/1/2019
3067,Footherley Deep,No trend,0.525402378,0.081496549,2,10/1/2008,10/1/2009
3077,Cliburn Town Bridge 1,No trend,-1.791532381,0.842240146,11,10/1/2003,10/1/2013
3078,Cliburn Town Bridge 2,No trend,-0.334042626,0.296771759,1,10/1/2011,10/1/2011
3087,Forest Camp,No trend,1.033429395,0.235761543,9,10/1/2001,10/1/2009
3088,Nursery Bend,No trend,0.221295971,0.44066259,2,10/1/2018,10/1/2019
3089,Abbots Moss,No trend,1.188448735,0.106425939,6,10/1/2004,10/1/2009
3090,Nursery Track,Slow decreasing,2.129271298,0.18282771,9,10/1/2001,10/1/2009
3091,Forest Camp Gateway,No trend,0.800983504,0.144617365,2,10/1/2002,10/1/2003
3092,Nursery Junction,No trend,0.226190577,0.181611528,3,10/1/2019,10/1/2021
3093,Eastwick,No trend,1.686977348,0.591683884,10,10/1/2009,10/1/2018
3103,Dalton East Top,Slow decreasing,2.131944444,0.045809053,15,10/1/2002,10/1/2016
3104,Dalton East Bottom,No trend,-0.846111111,0.032515756,29,10/1/1995,10/1/2023
3106,Espley 2,No trend,1.742540368,0.120908591,10,10/1/2014,10/1/2023
3107,Espley Green Lane,Slow increasing,-2.038110516,0.017121461,8,10/1/2015,10/1/2022
3108,Hazelwoods 1,Sudden upward change,-19.56443768,0.919024089,3,10/1/2006,10/1/2008
3109,Hazelwoods 2,Sudden upward change,-20.38698331,0.942588407,3,10/1/2006,10/1/2008
3112,Norton 17B,Sudden upward change,-79.41886008,0.958337198,13,10/1/1999,10/1/2011
3113,Swynerton A,Sudden upward change,-8.047619048,0.874917514,2,10/1/2011,10/1/2012
3114,Swynerton B,Sudden upward change,-9.934343434,0.859748521,3,10/1/2011,10/1/2013
3115,Tholthorpe Northfield D,No trend,-0.255971799,0.088132993,4,10/1/1996,10/1/1999
3116,Tholthorpe Northfield S,No trend,-1.452380952,0.336157225,16,10/1/1997,10/1/2012
3126,Hardwicke 2,Slow decreasing,3.163144563,0.055059999,20,10/1/2003,10/1/2022
3127,Hardwicke,No trend,0.871110515,0.000802618,20,10/1/2003,10/1/2022
3128,Great Ouseburn S,No trend,-0.667778265,0.104402946,49,10/1/1975,10/1/2023
3129,Great Ouseburn D,No trend,-0.467335695,0.130293836,33,10/1/1991,10/1/2023
3133,Greenhurst Cottages 2,Slow increasing,-2.661458333,0.438778768,35,10/1/1986,10/1/2020
3136,Hook House,No trend,0.912445365,0.189416607,9,10/1/2002,10/1/2010
3137,Sandymere Plantation E,Slow decreasing,3.183367743,0.222215657,10,10/1/2001,10/1/2010
3138,Sandymere Plantation W,Slow decreasing,2.892396597,0.457814074,3,10/1/2002,10/1/2004
3139,Oak Tree Farm,Slow decreasing,3.526945155,0.495381067,11,10/1/2001,10/1/2011
3140,Water Farm,Slow decreasing,3.161682404,0.549791765,12,10/1/2001,10/1/2012
3141,Ottersbank Farm,Slow increasing,-2.063847987,0.319033456,2,10/1/2018,10/1/2019
3144,Otterton 3,No trend,-0.783186706,0.13740769,29,10/1/1993,10/1/2021
3145,Otterton Saline,No trend,0.829807029,0.252270987,23,10/1/1989,10/1/2011
3146,Otterton 2,No trend,-0.380919565,0.26887693,24,10/1/1998,10/1/2021
3149,Manton Lodge,No trend,0.122117182,0.353151656,2,10/1/1988,10/1/1989
3150,Manton Lodge deep,Slow increasing,-33.32598949,0.495003897,19,10/1/2004,10/1/2022
3153,East Budleigh 5,Slow decreasing,2.056900246,0.272163241,40,10/1/1982,10/1/2021
3158,Checkhill Bogs,Sudden upward change,-17.23399428,0.931317325,4,10/1/2011,10/1/2014
3159,Check Hill,Slow increasing,-5.933685598,0.542660422,2,10/1/2015,10/1/2016
3172,Reigate Heath 3,Sudden upward change,-34.3928614,0.997190139,8,10/1/2012,10/1/2019
3173,kerne Bridge Shallow,Slow increasing,-3.846152688,0.316048233,13,10/1/2007,10/1/2019
3174,Kerne Bridge Deep,Sudden upward change,-4.013001534,0.783360412,2,10/1/2018,10/1/2019
3178,New Road Shallow,No trend,-1.456165158,0.133791814,12,10/1/1996,10/1/2007
3179,New Road Deep,No trend,-0.676549145,0.076777283,2,10/1/2003,10/1/2004
3184,Lodge Bank 1,No trend,0.944444444,0.075499777,18,10/1/2001,10/1/2018
3193,Rainton Drift,Slow increasing,-2.548951049,0.656011479,11,10/1/1996,10/1/2006
3196,Wilmslow Shallow,Slow increasing,-2.419242993,0.536885925,20,10/1/2004,10/1/2023
3204,Sandhutton 8,No trend,0.072145788,0.016936718,10,10/1/2013,10/1/2022
3205,Sandhutton 7,No trend,-0.229022149,0.150104686,4,10/1/1997,10/1/2000
3211,Willy Howe Drift N,Slow increasing,-2.336986715,0.010921877,34,10/1/1990,10/1/2023
3216,Lichfield 7,Slow decreasing,24.65054033,0.830697193,21,10/1/2002,10/1/2022
3217,Lichfield 6,Slow decreasing,3.29229798,0.451623923,22,10/1/2000,10/1/2021
3222,Shorncote,Slow increasing,-4.970313781,0.465090992,42,10/1/1982,10/1/2023
3240,Peterchurch Shallow,Slow decreasing,5.181629805,0.06633944,12,10/1/2006,10/1/2017
3241,Peterchurch Deep,No trend,1.921512093,0.389245566,2,10/1/2016,10/1/2017
3247,Studforth Drift,No trend,-1.960980472,0.64930234,8,10/1/2005,10/1/2012
3248,Studforth,No trend,-0.105263158,0.281965889,2,10/1/1986,10/1/1987
3249,Pikers Lane A,No trend,-5.577567753,0.416554274,2,10/1/2011,10/1/2012
3250,Pikers Lane C,Slow increasing,-9.537878788,0.42759998,2,10/1/2011,10/1/2012
3251,Pikers Lane B,No trend,-8.725694444,0.490769179,2,10/1/2012,10/1/2013
3252,Cottam Shallow,Slow decreasing,35.38679607,0.377286737,2,10/1/1995,10/1/1996
3253,Cottam Deep,Slow increasing,-72.02474937,0.38279785,21,10/1/1999,10/1/2019
3254,Old River Bed 24,No trend,-0.322918716,0.04263902,28,10/1/1994,10/1/2021
3255,Old River Bed,No trend,-0.361650115,0.039394772,22,10/1/1993,10/1/2014
3262,Norton,No trend,-1.671085859,0.308673866,27,10/1/1995,10/1/2021
3263,Norton 4,Slow increasing,-4.095238095,0.831820036,44,10/1/1977,10/1/2020
3271,Exminster Marshes 1,No trend,-0.359336675,0.073487883,1,10/1/2002,10/1/2002
3272,Exminster Marshes 1A,No trend,-0.213396009,0.073863196,2,10/1/2005,10/1/2006
3277,Alfington 2,No trend,0.742070376,0.507246114,3,10/1/1982,10/1/1984
3278,Alfington 1,Slow decreasing,6.522995195,0.706114376,46,10/1/1973,10/1/2018
3286,Lin Can Moss D,Sudden upward change,-6.277777778,0.841887578,14,10/1/1993,10/1/2006
3287,Windyoak 3,No trend,0.567901235,0.035023533,40,10/1/1983,10/1/2022
3288,Windyoak 4,Slow increasing,-10.26113171,0.479811063,28,10/1/1991,10/1/2018
3289,Windyoak 1,No trend,-0.367424242,0.830145535,2,10/1/2011,10/1/2012
3290,Bicton 3,No trend,-0.178461594,0.193859005,2,10/1/2002,10/1/2003
3291,Bicton 1,No trend,0.006760044,0.23593797,4,10/1/1980,10/1/1983
3292,Cat and Kittens Lane,Slow increasing,-5.123278237,0.560967603,33,10/1/1990,10/1/2022
3295,Lissett Bottom,Slow increasing,-3.150613276,0.412260636,29,10/1/1995,10/1/2023
3296,Lissett Top,Slow increasing,-3.189393939,0.656708849,12,10/1/1996,10/1/2007
3304,Tunstall 2,No trend,0.22034632,0.157105725,3,10/1/2008,10/1/2010
3306,Tunstall 1,Slow increasing,-3.294444444,0.728551036,23,10/1/1991,10/1/2013
3309,Lower Frankton,No trend,-1.167546296,0.529131016,3,10/1/2004,10/1/2006
3310,Lower Frankton 31,No trend,0.186057692,0.047843236,15,10/1/2007,10/1/2021
3312,Moor Monkton,No trend,-0.401041667,0.204370516,39,10/1/1985,10/1/2023
3315,Bracey Bridge Drift,No trend,-0.09047872,0.137049987,33,10/1/1991,10/1/2023
3318,North End Stream,No trend,0.332142857,0.166151355,6,10/1/1983,10/1/1988
3319,North End Stream North,No trend,-0.536858974,0.185606113,34,10/1/1990,10/1/2023
3320,North End Stream South,No trend,-0.064155844,0.066172819,29,10/1/1991,10/1/2019
3321,Hartlebury 1,No trend,-1.354255362,0.145803203,16,10/1/2005,10/1/2020
3326,Nine Dikes Track,Slow increasing,-7.330980382,0.294156395,9,10/1/1992,10/1/2000
3327,Nine Dikes 2,Slow increasing,-2.993992661,0.063352502,28,10/1/1991,10/1/2018
3328,Stanford,No trend,1.873093297,0.131883234,20,10/1/1999,10/1/2018
3329,Honeyend Farm,Slow increasing,-2.734491558,0.22532694,1,10/1/2009,10/1/2009
3330,Honeyend Farm Solid,Slow increasing,-17.25734115,0.414658067,1,10/1/2017,10/1/2017
